Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar,Quarter,Year
1983-03-31,461.88593749999984,443.5734375000001,109223.884375,301.46718749999997,568.0859375000002,934.1187500000001,4569.265625,1592.8015624999996,1704.9203125000006,10611.367187500004,358508.78437500005,501.984375,491.0312500000002,1,1983
1983-06-30,427.15538461538443,432.6184615384615,101478.73384615383,275.0923076923077,525.6907692307693,887.0092307692308,4267.3953846153845,1474.5092307692307,1566.5707692307697,9765.703076923075,327367.67692307686,465.1753846153847,488.30769230769255,2,1983
1983-09-30,416.85757575757543,452.14696969696985,101181.00454545456,276.16212121212135,513.857575757576,896.3363636363637,4230.557575757574,1445.7439393939394,1532.7242424242427,9570.462121212122,327766.50454545463,462.4363636363635,473.33333333333337,3,1983
1983-12-31,387.2646153846153,429.85384615384606,90739.89538461535,263.6184615384614,479.64461538461535,837.3723076923078,4008.9076923076927,1349.2846153846149,1424.3815384615384,8884.481538461536,310649.40769230755,455.8246153846155,425.4246153846155,4,1983
1984-03-31,383.8646153846154,431.57384615384626,88629.87692307691,267.2999999999999,482.10461538461544,843.2600000000002,4108.381538461538,1347.6030769230767,1406.5923076923077,8795.246153846152,308249.7307692308,473.32615384615383,412.2738461538462,1,1984
1984-06-30,378.9861538461538,428.0538461538462,87089.0753846154,271.46615384615393,489.7369230769233,851.732307692308,4145.423076923078,1333.9646153846152,1388.4246153846152,8719.346153846149,304087.3107692307,484.04615384615397,419.2461538461539,2,1984
1984-09-30,345.6399999999998,419.21846153846155,84054.48307692306,266.05230769230764,453.5153846153848,842.4184615384613,3984.9307692307693,1218.8861538461542,1276.3400000000001,7942.846153846156,284229.1861538461,543.5323076923077,412.1661538461539,3,1984
1984-12-31,333.5969696969696,423.6545454545454,82044.42121212123,274.13939393939387,439.780303030303,838.8924242424241,4023.7757575757587,1188.0015151515154,1224.601515151515,8386.178787878789,273089.4757575757,605.7727272727274,394.79090909090905,4,1984
1985-03-31,302.12499999999994,408.35937499999994,77697.98437499999,270.58125,408.4000000000001,830.0578125000001,3845.2796875000004,1084.7515624999999,1102.7968750000002,8213.218749999998,253879.98750000008,616.3140625,403.1125,1,1985
1985-06-30,319.096923076923,413.6107692307692,79997.95846153845,254.31384615384613,436.72000000000014,827.6061538461541,3944.8123076923066,1155.5815384615385,1173.6953846153845,8658.753846153848,275215.4723076922,626.8476923076922,477.8353846153846,2,1985
1985-09-30,323.460606060606,392.53636363636355,77124.6121212121,235.06666666666678,439.85454545454536,759.1121212121213,3873.674242424242,1180.3515151515155,1186.3075757575757,8633.277272727275,283591.9772727273,731.716666666667,462.9151515151515,3,1985
1985-12-31,324.5318181818181,362.2303030303028,67225.78636363636,226.18030303030307,447.32424242424236,691.9954545454543,3898.224242424243,1184.0090909090907,1191.9803030303033,8495.918181818182,291150.8696969698,857.6924242424244,471.75454545454534,4,1985
1986-03-31,343.12656250000003,350.90625,64511.056250000016,238.196875,481.0140624999999,678.8625,4194.928124999999,1251.3796875000007,1258.5296875,8945.964062499997,304123.9749999999,742.6265625000001,488.10468750000007,1,1986
1986-06-30,341.8215384615385,337.4892307692307,58068.34461538462,226.56615384615384,472.9676923076924,637.3692307692306,4246.967692307695,1257.9692307692303,1254.8784615384616,8886.57538461538,300974.78307692317,768.5246153846156,479.1907692307691,2,1986
1986-09-30,380.6196969696969,352.37727272727267,59213.73333333333,255.82424242424244,526.7151515151514,640.4575757575759,4768.483333333332,1425.939393939394,1396.7893939393944,9842.707575757577,336484.9681818182,941.6363636363634,612.2590909090908,3,1986
1986-12-31,404.1878787878786,363.30909090909086,64822.55303030302,282.4787878787877,560.3666666666669,672.5075757575756,5241.5060606060615,1517.0151515151515,1485.8030303030305,10505.074242424243,352078.1939393941,905.8242424242425,624.7227272727271,4,1986
